,Married,Number_of_Dependents,Tenure_in_Months,Phone_Service,Multipl_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status
0,Yes,0,9,Yes,No,Yes,Cable,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
1,No,0,9,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,Stayed
2,No,0,4,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3,Yes,0,13,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
4,Yes,0,3,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
5,No,3,9,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
6,Yes,0,71,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
7,Yes,0,63,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,Stayed
8,No,0,7,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
9,Yes,1,65,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
11,Yes,2,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
12,Yes,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
13,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
15,Yes,2,71,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
17,No,0,45,Yes,No,Yes,DSL,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,Churned
20,Yes,0,13,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
21,Yes,2,23,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
24,Yes,3,55,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
28,Yes,3,37,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
30,Yes,0,66,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
34,Yes,0,55,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
35,Yes,0,59,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
37,Yes,3,27,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
38,No,0,2,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
39,No,0,27,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
41,Yes,0,25,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
43,Yes,0,72,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
44,No,0,14,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
45,No,0,35,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
46,No,0,29,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
47,No,0,64,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,Stayed
48,Yes,3,39,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
49,No,0,40,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
50,No,0,40,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
51,No,1,11,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
52,Yes,0,6,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
53,No,0,30,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,Stayed
55,Yes,0,70,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
56,Yes,0,57,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
57,Yes,0,58,Yes,No,Yes,DSL,No,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
58,No,0,16,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
59,Yes,0,69,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
61,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
62,Yes,1,32,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,Stayed
63,Yes,2,16,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
64,Yes,0,49,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Churned
66,No,0,33,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
